AccX,AccY,AccZ,Dist
-0.01,0.02,1.06,99.0
-0.02,0.02,1.07,95.0
-0.01,0.02,1.12,98.0
-0.01,0.02,1.07,100.0
-0.01,0.03,1.07,97.0
-0.02,0.02,1.05,94.0
-0.01,0.03,1.07,100.0
-0.01,0.02,1.07,101.0
-0.01,0.01,1.06,99.0
-0.01,0.02,1.07,98.0
-0.01,0.02,1.06,100.0
-0.01,0.01,1.08,101.0
-0.01,0.02,1.06,99.0
-0.01,0.02,1.06,102.0
-0.01,0.01,1.07,105.0
-0.01,0.02,1.07,103.0
-0.01,0.01,1.07,101.0
-0.0,0.02,1.07,102.0
-0.0,0.01,1.07,104.0
-0.01,0.02,1.06,105.0
0.0,0.01,1.07,106.0
-0.01,0.02,1.07,104.0
-0.01,0.02,1.06,99.0
-0.01,0.02,1.07,105.0
-0.02,0.03,1.07,106.0
-0.02,0.02,1.06,107.0
-0.01,0.03,1.07,108.0
-0.01,0.01,1.01,107.0
-0.01,0.02,1.07,106.0
-0.01,0.03,1.07,106.0
-0.01,0.03,1.07,107.0
-0.01,0.02,1.06,107.0
-0.01,0.02,1.07,105.0
-0.02,0.02,1.07,107.0
-0.01,0.02,1.07,108.0
-0.02,0.02,1.07,107.0
-0.01,0.02,1.06,107.0
-0.01,0.02,1.07,106.0
-0.01,0.02,1.07,109.0
-0.0,0.02,1.08,110.0
-0.01,0.01,1.07,110.0
-0.01,0.02,1.07,109.0
-0.0,0.01,1.07,110.0
-0.01,0.03,1.07,111.0
-0.01,0.02,1.07,110.0
-0.0,0.02,1.07,109.0
-0.0,0.02,1.07,111.0
-0.01,0.03,1.07,109.0
-0.0,-0.0,1.07,114.0
-0.01,0.03,1.06,110.0
0.07,-0.02,1.0,111.0
-0.03,0.06,1.15,112.0
0.04,0.07,0.99,110.0
0.01,0.01,1.06,113.0
0.05,-0.03,1.07,112.0
-0.0,0.04,1.08,111.0
0.09,0.01,1.02,112.0
0.24,-0.09,1.07,111.0
0.09,0.06,1.1,109.0
0.25,0.0,1.07,112.0
0.48,0.07,1.08,115.0
0.16,0.05,0.94,113.0
0.44,-0.07,0.99,111.0
0.49,0.06,0.89,112.0
0.55,-0.0,0.9,114.0
0.61,0.01,0.8,120.0
0.66,0.0,0.79,118.0
0.7,0.01,0.75,112.0
0.72,0.01,0.8,116.0
0.71,0.02,0.65,116.0
0.83,0.0,0.57,117.0
0.89,-0.01,0.54,114.0
0.86,-0.12,0.54,116.0
0.76,-0.09,0.54,115.0
0.91,-0.18,0.77,116.0
1.0,0.06,0.14,117.0
0.97,0.03,0.08,115.0
0.97,0.07,0.25,114.0
1.13,0.12,-0.06,119.0
0.98,-0.02,0.03,119.0
0.98,-0.0,0.03,121.0
0.98,-0.18,-0.04,120.0
0.98,0.01,0.06,119.0
1.02,-0.0,0.18,119.0
1.0,0.11,-0.42,123.0
1.18,-0.06,0.02,122.0
0.83,-0.01,-0.47,125.0
0.85,0.02,-0.41,125.0
0.79,0.0,-0.55,125.0
0.7,-0.05,-0.65,125.0
0.72,0.05,-0.62,123.0
0.68,-0.02,-0.69,129.0
0.59,-0.07,-0.79,126.0
0.71,0.01,-0.79,126.0
0.39,-0.03,-0.9,129.0
0.22,-0.13,-0.95,130.0
0.22,0.09,-0.76,130.0
-0.01,0.0,-0.94,131.0
-0.06,0.04,-0.93,132.0
-0.0,-0.02,-0.94,133.0
-0.01,-0.01,-0.94,131.0
-0.02,0.0,-0.93,133.0
-0.02,0.06,-0.94,136.0
-0.01,0.0,-0.93,134.0
-0.01,0.0,-0.93,138.0
-0.01,-0.0,-0.94,136.0
-0.0,-0.0,-0.93,139.0
-0.01,-0.01,-0.93,140.0
-0.02,0.0,-0.94,139.0
0.03,-0.06,-0.94,142.0
-0.01,0.0,-0.93,138.0
-0.04,0.01,-0.94,141.0
-0.02,0.01,-1.0,141.0
-0.02,-0.0,-0.92,141.0
-0.04,0.0,-0.94,142.0
-0.02,-0.0,-0.94,139.0
-0.03,0.06,-0.93,144.0
-0.02,-0.0,-0.93,141.0
-0.02,-0.01,-0.93,142.0
-0.01,-0.0,-0.93,146.0
-0.02,-0.0,-0.93,144.0
0.07,0.02,-0.95,147.0
-0.02,-0.01,-0.92,148.0
-0.03,0.01,-0.93,148.0
-0.02,0.0,-0.94,146.0
-0.02,-0.01,-0.93,147.0
-0.03,-0.01,-0.93,149.0
-0.03,-0.0,-0.93,146.0
-0.02,-0.0,-0.93,149.0
-0.02,0.0,-0.94,149.0
-0.02,-0.0,-0.93,149.0
-0.02,-0.0,-0.94,148.0
-0.02,0.0,-0.94,149.0
-0.02,-0.01,-0.91,153.0
-0.02,-0.0,-0.93,153.0
-0.02,-0.01,-0.93,153.0
-0.02,-0.01,-0.93,155.0
-0.03,0.0,-0.93,156.0
-0.03,0.0,-0.93,155.0
-0.02,-0.0,-0.93,156.0
-0.02,-0.0,-0.93,157.0
-0.03,0.01,-0.93,156.0
-0.02,-0.01,-0.93,161.0
-0.02,-0.0,-0.94,159.0
-0.01,0.01,-0.93,157.0
-0.03,-0.01,-0.94,161.0
-0.02,-0.0,-0.93,157.0
-0.02,-0.0,-0.92,164.0
-0.02,-0.0,-0.94,160.0
-0.01,0.0,-0.94,162.0
-0.02,0.01,-0.93,163.0
-0.03,0.0,-0.94,162.0
-0.03,-0.01,-0.94,161.0
-0.02,-0.0,-0.94,163.0
-0.01,0.01,-0.93,164.0
-0.02,-0.0,-0.93,161.0
-0.02,-0.0,-0.93,163.0
-0.02,-0.01,-0.93,165.0
-0.02,-0.01,-0.94,167.0
-0.02,-0.0,-0.94,165.0
-0.02,-0.0,-0.94,163.0
-0.02,0.06,-0.93,164.0
-0.02,0.0,-0.93,164.0
-0.02,-0.01,-0.93,167.0
-0.02,-0.0,-0.93,167.0
-0.02,0.0,-0.94,167.0
-0.03,-0.0,-0.93,173.0
-0.02,0.0,-0.94,171.0
-0.02,0.06,-0.93,170.0
-0.03,0.01,-0.93,172.0
-0.03,-0.0,-0.93,174.0
-0.02,-0.05,-0.92,172.0
-0.03,-0.01,-0.92,173.0
-0.03,-0.01,-0.93,175.0
-0.02,-0.0,-0.94,174.0
-0.02,-0.0,-0.93,175.0
-0.02,-0.0,-0.94,175.0
-0.02,-0.0,-0.94,176.0
-0.02,0.06,-0.93,177.0
-0.01,-0.0,-0.93,179.0
-0.02,0.0,-0.93,178.0
-0.03,-0.0,-0.92,180.0
-0.02,0.0,-0.94,177.0
-0.02,-0.0,-0.93,179.0
-0.02,-0.0,-0.93,179.0
-0.02,0.06,-0.93,181.0
-0.01,-0.01,-0.93,182.0
-0.02,0.01,-0.93,183.0
-0.03,0.0,-0.93,181.0
