AccX,AccY,AccZ,Dist,Time
0.12,0.08,1.08,31.0,19.224448204040527
0.12,0.08,1.07,31.0,19.28636407852173
0.13,0.07,1.05,25.0,19.349332332611084
0.13,0.09,1.06,30.0,19.413145780563354
0.12,0.07,1.05,31.0,19.475679636001587
0.13,0.07,1.07,25.0,19.53881287574768
0.12,0.08,1.05,27.0,19.60197901725769
0.14,0.07,1.06,28.0,19.664917945861816
0.13,0.08,1.05,27.0,19.728180408477783
0.14,0.07,1.05,31.0,19.791632890701294
0.13,0.08,1.09,29.0,19.85362672805786
0.11,0.08,1.05,30.0,19.917161226272583
0.14,0.07,1.08,29.0,19.980680227279663
0.13,0.08,1.01,28.0,20.043904066085815
0.14,0.08,1.06,27.0,20.106860876083374
0.13,0.08,1.05,29.0,20.17008662223816
0.14,0.08,1.07,30.0,20.238579750061035
0.17,0.08,1.04,27.0,20.295637607574463
0.13,0.09,1.06,28.0,20.359161138534546
0.07,0.08,1.05,27.0,20.421401500701904
0.13,0.08,1.04,30.0,20.485078811645508
0.13,0.08,1.06,32.0,20.547667026519775
0.13,0.08,1.04,31.0,20.611011743545532
0.13,0.09,1.05,33.0,20.67440414428711
0.15,0.06,1.05,27.0,20.73736810684204
0.18,0.05,1.04,30.0,20.80064630508423
0.16,0.01,1.05,30.0,20.863388776779175
0.09,0.1,1.06,30.0,20.926835536956787
0.06,0.08,1.06,32.0,20.99007821083069
0.15,0.05,1.06,29.0,21.053221940994263
0.13,0.07,1.06,31.0,21.11594820022583
0.12,0.09,1.1,30.0,21.17870807647705
0.12,0.09,1.06,26.0,21.242289066314697
0.18,0.08,1.03,27.0,21.305103063583374
0.13,0.09,1.03,29.0,21.36751961708069
0.13,0.08,1.06,31.0,21.431862831115723
0.12,0.08,1.04,30.0,21.494399070739746
0.13,0.07,1.05,29.0,21.556868076324463
0.13,0.08,0.97,28.0,21.620748043060303
0.12,0.08,1.05,29.0,21.683372497558594
0.12,0.08,1.06,28.0,21.74635887145996
0.13,0.08,1.05,27.0,21.80957841873169
0.12,0.08,1.06,31.0,21.872020721435547
0.14,0.08,1.06,27.0,21.936010599136353
0.15,0.08,1.09,33.0,21.998751640319824
0.13,0.08,1.04,31.0,22.06228804588318
0.13,0.07,1.05,29.0,22.12491536140442
0.13,0.08,1.06,29.0,22.188075304031372
0.12,0.08,1.04,31.0,22.2510187625885
0.14,0.08,1.06,30.0,22.31357765197754
0.09,0.08,1.05,26.0,22.376846075057983
0.12,0.08,1.04,31.0,22.43998956680298
0.12,0.08,1.06,31.0,22.50343155860901
0.13,0.08,1.06,28.0,22.566276788711548
0.12,0.08,1.05,27.0,22.629324674606323
0.13,0.08,1.05,30.0,22.69317317008972
0.13,0.07,1.04,30.0,22.75568151473999
0.13,0.08,1.04,30.0,22.818509101867676
0.12,0.08,1.09,27.0,22.881993055343628
0.13,0.08,1.05,31.0,22.94468402862549
0.13,0.09,1.06,29.0,23.008227825164795
