AccX,AccY,AccZ,Dist,Time
-0.02,-0.1,1.06,30.0
-0.02,-0.1,1.06,24.0
-0.01,-0.1,1.06,29.0
-0.02,-0.11,1.06,26.0
-0.01,-0.11,1.06,26.0
-0.01,-0.1,1.07,24.0
-0.01,-0.1,1.06,27.0
-0.01,-0.11,1.06,26.0
-0.02,-0.1,1.06,27.0
-0.01,-0.11,1.06,29.0
-0.02,-0.1,1.07,25.0
-0.01,-0.1,1.0,26.0
-0.02,-0.1,1.06,27.0
-0.01,-0.1,1.07,25.0
-0.01,-0.1,1.06,23.0
-0.01,-0.1,1.05,24.0
-0.01,-0.1,1.07,26.0
-0.02,-0.11,1.06,27.0
-0.02,-0.1,1.05,24.0
-0.01,-0.1,1.06,28.0
-0.02,-0.1,1.06,25.0
-0.01,-0.1,1.06,25.0
-0.02,-0.12,1.07,29.0
-0.01,-0.1,1.06,28.0
-0.01,-0.1,1.06,26.0
-0.01,-0.1,1.06,26.0
-0.01,-0.11,1.06,25.0
-0.02,-0.1,1.06,25.0
-0.02,-0.1,1.06,25.0
-0.02,-0.11,1.06,24.0
-0.02,-0.11,1.06,24.0
-0.02,-0.1,1.06,29.0
-0.01,-0.11,1.06,26.0
-0.02,-0.1,1.06,27.0
-0.01,-0.1,1.06,28.0
-0.02,-0.1,1.06,23.0
-0.01,-0.11,1.06,26.0
-0.01,-0.1,1.06,27.0
-0.01,-0.1,1.06,27.0
-0.01,-0.1,1.07,29.0
-0.01,-0.1,1.06,28.0
-0.01,-0.1,1.07,28.0
-0.01,-0.1,1.06,27.0
-0.01,-0.1,1.06,29.0
-0.01,-0.11,1.06,28.0
-0.01,-0.1,1.06,28.0
-0.02,-0.1,1.06,30.0
-0.01,-0.11,1.06,27.0
-0.01,-0.1,1.06,30.0
-0.01,-0.1,1.06,25.0
-0.01,-0.1,1.06,29.0
-0.02,-0.1,1.06,29.0
-0.0,-0.11,1.06,30.0
-0.01,-0.11,1.06,30.0
-0.01,-0.11,1.06,28.0
-0.02,-0.11,1.06,25.0
-0.01,-0.1,1.07,24.0
-0.02,-0.1,1.06,26.0
-0.01,-0.1,1.06,22.0
-0.01,-0.1,1.06,28.0
-0.01,-0.1,1.06,24.0
-0.01,-0.11,1.06,21.0
-0.01,-0.1,1.06,25.0
-0.01,-0.09,1.06,29.0
-0.01,-0.1,1.06,29.0
-0.01,-0.1,1.06,31.0
-0.02,-0.1,1.07,26.0
-0.01,-0.11,1.12,23.0
-0.01,-0.1,1.06,26.0
-0.01,-0.1,1.06,24.0
-0.01,-0.11,1.07,27.0
-0.02,-0.11,1.06,28.0
-0.02,-0.1,1.06,27.0
-0.02,-0.1,1.06,24.0
-0.02,-0.11,1.06,26.0
-0.01,-0.11,1.06,24.0
-0.01,-0.11,1.06,29.0
-0.02,-0.1,1.06,27.0
-0.01,-0.11,1.07,26.0
-0.02,-0.11,1.06,26.0
-0.01,-0.11,1.06,24.0
-0.02,-0.1,1.06,28.0
-0.01,-0.11,1.06,23.0
-0.01,-0.1,1.06,30.0
-0.02,-0.11,1.12,27.0
-0.01,-0.1,1.06,25.0
-0.01,-0.1,1.06,25.0
-0.01,-0.1,1.06,26.0
-0.02,-0.1,1.06,25.0
-0.01,-0.1,1.06,27.0
-0.01,-0.1,1.06,24.0
-0.01,-0.1,1.06,26.0
-0.01,-0.1,1.07,28.0
-0.01,-0.11,1.07,24.0
-0.01,-0.1,1.06,28.0
-0.02,-0.1,1.06,30.0
-0.02,-0.11,1.06,27.0
-0.01,-0.1,1.0,27.0
-0.01,-0.1,1.06,27.0
-0.01,-0.1,1.06,23.0
-0.01,-0.1,1.06,27.0
-0.02,-0.11,1.06,28.0
-0.01,-0.1,1.06,26.0
-0.02,-0.1,1.06,25.0
-0.01,-0.11,1.06,28.0
-0.01,-0.1,1.06,25.0
-0.02,-0.1,1.06,27.0
-0.01,-0.1,1.06,27.0
-0.02,-0.11,1.06,25.0
