Timestamp,VTarget,MotorPWM,Encoder
"20400, 11000, 30, 4243"
"20500, 11000, 30, 3435"
"20600, 11000, 30, 2678"
"20700, 11000, 30, 1909"
"20800, 11000, 30, 1137"
"20900, 11000, 30, 386"
"21000, 11000, 0, -59"
"21100, 11000, 0, -44"
"21200, 11000, 0, -44"
"21300, 11000, 0, -44"
"21400, 11000, 0, -44"
"21500, 11000, 0, -44"
"21600, 11000, 0, -44"
"21700, 11000, 70, 109"
"21800, 11000, 70, 2174"
"21900, 11000, 70, 4211"
"22000, 11000, 70, 6259"
"22100, 11000, 70, 8478"
"22200, 11000, 70, 10589"
"22300, 11000, 0, 11076"
"22400, 11000, 0, 10922"
"22500, 11000, 0, 11282"
"22600, 11000, 0, 11308"
"22700, 11000, 0, 11308"
"22800, 11000, 0, 11308"
"22900, 11000, 0, 11308"
"23000, 11000, 0, 11308"
"23100, 11000, 0, 11308"
"23200, 11000, 0, 11308"
"23300, 11000, 0, 11308"
"23400, 11000, 0, 11308"
"23500, 11000, 0, 11308"
"23600, 11000, 0, 11308"
"23700, 11000, 0, 11308"
"23800, 11000, 0, 11308"
"23900, 11000, 0, 11272"
"24000, 11000, 0, 11271"
"24100, 11000, 0, 11271"
"24200, 11000, 0, 11271"
"24300, 11000, 0, 11271"
"24400, 11000, 30, 11131"
"24500, 11000, 30, 10266"
"24600, 11000, 30, 9344"
"24700, 11000, 30, 8398"
"24800, 11000, 30, 7564"
"24900, 11000, 30, 6731"
"25000, 11000, 30, 5941"
"25100, 11000, 30, 5146"
"25200, 11000, 30, 4335"
"25300, 11000, 30, 3582"
"25400, 11000, 30, 2807"
"25500, 11000, 30, 2042"
"25600, 11000, 30, 1319"
"25700, 11000, 30, 554"
"25800, 11000, 0, -15"
"25900, 11000, 0, -16"
"26000, 11000, 0, -16"
"26100, 11000, 0, -16"
"26200, 11000, 0, -16"
"26300, 11000, 0, -16"
"26400, 11000, 0, -16"
"26500, 11000, 0, -16"
"26600, 11000, 0, -16"
"26700, 11000, 0, -16"
"26800, 11000, 70, 30"
"26900, 11000, 70, 1820"
"27000, 11000, 70, 3965"
"27100, 11000, 70, 6070"
"27200, 11000, 70, 8241"
"27300, 11000, 70, 10414"
"27400, 11000, 0, 11171"
"27500, 11000, 0, 10794"
"27600, 11000, 0, 11032"
"27700, 11000, 0, 11019"
"27800, 11000, 0, 11019"
"27900, 11000, 0, 11019"
"28000, 11000, 0, 11019"
"28100, 11000, 0, 11019"
"28200, 11000, 0, 11019"
"28300, 11000, 30, 10902"
"28400, 11000, 30, 9982"
"28500, 11000, 30, 9057"
"28600, 11000, 30, 8107"
"28700, 11000, 30, 7159"
"28800, 11000, 30, 6362"
"28900, 11000, 30, 5537"
"29000, 11000, 30, 4781"
"29100, 11000, 30, 3988"
"29200, 11000, 30, 3187"
"29300, 11000, 30, 2437"
"29400, 11000, 30, 1660"
"29500, 11000, 30, 911"
"29600, 11000, 0, 163"
"29700, 11000, 0, -20"
"29800, 11000, 0, -20"
"29900, 11000, 0, -20"
"30000, 11000, 0, -20"
"30100, 11000, 0, -20"
"30200, 11000, 0, -20"
"30300, 11000, 0, -20"
"30400, 11000, 0, -20"
"30500, 11000, 0, -20"
"30600, 11000, 0, -20"
"30700, 11000, 0, -20"
"30800, 11000, 0, -20"
"30900, 11000, 0, -20"
"31000, 11000, 0, -20"
"31100, 11000, 0, -20"
"31200, 11000, 0, -20"
"31300, 11000, 0, -20"
"31400, 11000, 0, -20"
"31500, 11000, 0, -20"
"31600, 11000, 0, -20"
"31700, 11000, 0, -20"
"31800, 11000, 0, -20"
